age;turnover;travel;department;distance_from_home;education;field_of_study;employees;id;environment_satisfaction;gender;involvement;job_level;position;job_satisfaction;marital_status;monthly_income;num_companies_worked;over_18;overtime;percent_salary_hike;performance_rating;relationship_satisfaction;total_working_hours;stock_option_level;years_at_company;training_times_last_year;work_life_balance;years_with_curr_manager;years_in_current_role;years_since_last_promotion
29;No;Travel_Rarely;Research & Development;21;Master;Life Sciences;1;20;Medium;2.0;Very_High;3;Manufacturing Director;Very_High;Divorced;9980;1;Y;No;11;High;High;80;1;10;1;;10;;8
32;No;Travel_Rarely;Research & Development;5;Master;Life Sciences;1;21;Low;2.0;Very_High;1;Research Scientist;Very_High;Divorced;3298;0;Y;Yes;12;High;Very_High;80;2;7;5;Very_High;6;;0
22;No;Non-Travel;Research & Development;16;Master;Medical;1;22;Very_High;1.0;Very_High;1;Laboratory Technician;Very_High;Divorced;2935;1;Y;Yes;13;High;Medium;80;2;1;2;Very_High;1;;0
53;No;Travel_Rarely;Sales;2;Secondary;Life Sciences;1;23;Low;2.0;Medium;4;Manager;Medium;Married;15427;2;Y;No;16;Medium;High;80;0;31;3;;25;;3
38;No;Travel_Rarely;Research & Development;2;University;Life Sciences;1;24;Very_High;1.0;High;1;Research Scientist;High;Single;3944;5;Y;Yes;11;High;High;80;0;6;3;;3;;1
24;No;Non-Travel;Research & Development;11;Master;Other;1;26;Low;2.0;Very_High;2;Manufacturing Director;Very_High;Divorced;4011;0;Y;No;18;High;Very_High;80;1;5;5;;4;;1
36;Yes;Travel_Rarely;Sales;9;Secondary;Life Sciences;1;27;High;2.0;Medium;1;Sales Representative;;Single;3407;7;Y;No;23;Medium;Medium;80;0;10;4;;5;2.0;0
34;No;Travel_Rarely;Research & Development;7;University;Life Sciences;1;28;Low;1.0;High;3;Research Director;High;Single;11994;0;Y;No;11;High;High;80;0;13;4;;12;;2
21;No;Travel_Rarely;Research & Development;15;University;Life Sciences;1;30;High;1.0;High;1;Research Scientist;High;Single;1232;1;Y;No;14;High;Very_High;80;0;0;6;;0;;0
34;Yes;Travel_Rarely;Research & Development;6;University;Medical;1;31;Medium;1.0;High;1;Research Scientist;;Single;2960;2;Y;No;11;High;High;80;0;8;2;;4;;1
53;No;Travel_Rarely;Research & Development;5;University;Other;1;32;High;1.0;High;5;Manager;High;Divorced;19094;4;Y;No;11;High;Very_High;80;1;26;3;;14;;4
32;Yes;Travel_Frequently;Research & Development;16;Elementary;Life Sciences;1;33;Medium;1.0;Low;1;Research Scientist;;Single;3919;1;Y;Yes;22;Low;Medium;80;0;10;5;;10;;6
42;No;Travel_Rarely;Sales;8;University;Marketing;1;35;High;1.0;High;2;Sales Executive;High;Married;6825;0;Y;No;11;High;Very_High;80;1;10;2;High;9;3.0;4
44;No;Travel_Rarely;Research & Development;7;Secondary;Medical;1;36;Low;2.0;Medium;3;Healthcare Representative;Medium;Married;10248;3;Y;No;14;Medium;Very_High;80;1;24;4;;22;2.0;5
46;No;Travel_Rarely;Sales;2;University;Marketing;1;38;Medium;2.0;High;5;Manager;High;Single;18947;3;Y;No;12;High;Very_High;80;0;22;2;High;2;;2
33;No;Travel_Rarely;Research & Development;2;University;Medical;1;39;High;1.0;High;1;Laboratory Technician;High;Single;2496;4;Y;No;11;High;Very_High;80;0;7;3;;1;;0
44;No;Travel_Rarely;Research & Development;10;University;Other;1;40;Very_High;1.0;High;2;Healthcare Representative;High;Married;6465;2;Y;Yes;13;High;Very_High;80;0;9;5;High;4;;1
30;No;Travel_Rarely;Research & Development;9;;Medical;1;41;Very_High;2.0;;1;Laboratory Technician;;Single;2206;1;Y;No;13;High;Low;80;0;10;5;;10;;1
39;Yes;Travel_Rarely;Sales;5;University;Technical Degree;1;42;Very_High;1.0;High;2;Sales Representative;High;Married;2086;3;Y;No;14;High;High;80;1;19;6;;1;;0
24;Yes;Travel_Rarely;Research & Development;1;University;Medical;1;45;Medium;1.0;High;1;Research Scientist;High;Married;2293;2;Y;Yes;16;High;Low;80;1;6;2;;2;;2
43;No;Travel_Rarely;Research & Development;2;Master;Medical;1;46;Very_High;2.0;Very_High;1;Research Scientist;Very_High;Divorced;2645;1;Y;No;12;High;Very_High;80;2;6;3;Very_High;5;;1
50;Yes;Travel_Rarely;Sales;3;Secondary;Marketing;1;47;Low;2.0;Medium;1;Sales Representative;Medium;Married;2683;1;Y;Yes;14;Medium;High;80;0;3;2;Medium;3;;0
35;No;Travel_Rarely;Sales;2;University;Marketing;1;49;Very_High;1.0;High;1;Sales Representative;High;Married;2014;1;Y;No;13;High;Low;80;0;2;3;;2;;2
36;No;Travel_Rarely;Research & Development;5;Secondary;Life Sciences;1;51;Medium;2.0;Medium;1;Research Scientist;Medium;Married;3419;9;Y;Yes;14;Medium;Very_High;80;1;6;3;;1;;0
33;No;Travel_Frequently;Sales;1;Master;Life Sciences;1;52;High;2.0;Very_High;2;Sales Executive;Very_High;Married;5376;2;Y;No;19;High;Low;80;2;10;3;;5;;1
35;No;Travel_Rarely;Research & Development;4;University;Other;1;53;High;1.0;High;1;Laboratory Technician;High;Divorced;1951;1;Y;No;12;High;High;80;1;1;3;;1;;0
27;No;Travel_Rarely;Research & Development;2;University;Life Sciences;1;54;Very_High;1.0;High;1;Laboratory Technician;High;Divorced;2341;1;Y;No;13;High;Very_High;80;1;1;6;;1;;0
26;Yes;Travel_Rarely;Research & Development;25;;Life Sciences;1;55;Low;1.0;Low;1;Laboratory Technician;Low;Single;2293;1;Y;No;12;High;High;80;0;1;2;;1;;0
27;No;Travel_Frequently;Sales;8;University;Life Sciences;1;56;Very_High;1.0;High;3;Sales Executive;High;Single;8726;1;Y;No;15;High;Very_High;80;0;9;0;;9;3.0;1
30;No;Travel_Frequently;Research & Development;1;University;Medical;1;57;High;2.0;High;2;Laboratory Technician;High;Single;4011;1;Y;No;23;Very_High;Very_High;80;0;12;2;High;12;;3
41;Yes;Travel_Rarely;Research & Development;12;University;Technical Degree;1;58;Medium;1.0;High;5;Research Director;High;Married;19545;1;Y;No;12;High;Very_High;80;0;23;0;;22;;15
34;No;Non-Travel;Sales;23;University;Marketing;1;60;Medium;1.0;High;2;Sales Executive;High;Single;4568;0;Y;No;20;Very_High;High;80;0;10;2;;9;;8
37;No;Travel_Rarely;Research & Development;19;University;Life Sciences;1;61;Medium;1.0;High;1;Research Scientist;High;Married;3022;4;Y;No;21;Very_High;Low;80;0;8;1;;1;;0
46;No;Travel_Frequently;Sales;5;University;Marketing;1;62;Low;1.0;High;2;Sales Executive;High;Single;5772;4;Y;Yes;21;Very_High;High;80;0;14;4;;9;;0
35;No;Travel_Rarely;Research & Development;8;Master;Life Sciences;1;63;Very_High;2.0;Very_High;1;Laboratory Technician;Very_High;Married;2269;1;Y;No;19;High;Very_High;80;0;1;2;Very_High;1;4.0;0
48;Yes;Travel_Rarely;Research & Development;1;Secondary;Life Sciences;1;64;Low;2.0;Medium;3;Laboratory Technician;Medium;Single;5381;9;Y;Yes;13;Medium;Very_High;80;0;23;2;;1;;0
28;Yes;Travel_Rarely;Research & Development;5;University;Technical Degree;1;65;High;1.0;High;1;Laboratory Technician;High;Single;3441;1;Y;Yes;13;High;High;80;0;2;3;;2;3.0;2
44;No;Travel_Rarely;Sales;1;University;Marketing;1;68;Medium;1.0;High;2;Sales Executive;High;Divorced;5454;5;Y;Yes;21;Very_High;High;80;1;9;2;;4;;1
35;No;Non-Travel;Research & Development;11;;Medical;1;70;High;2.0;Medium;3;Healthcare Representative;Medium;Married;9884;2;Y;Yes;13;Medium;High;80;1;10;3;;4;;2
26;No;Travel_Rarely;Sales;23;Secondary;Marketing;1;72;High;2.0;Medium;2;Sales Executive;Medium;Married;4157;7;Y;Yes;19;Medium;High;80;1;5;2;;2;;0
33;No;Travel_Frequently;Research & Development;1;University;Life Sciences;1;73;Low;1.0;High;3;Research Director;High;Single;13458;1;Y;Yes;12;High;High;80;0;15;1;;15;;8
35;No;Travel_Frequently;Sales;18;University;Life Sciences;1;74;Medium;1.0;High;3;Sales Executive;High;Married;9069;1;Y;No;22;Very_High;Very_High;80;1;9;3;;9;;1
35;No;Travel_Rarely;Research & Development;23;University;Medical;1;75;High;2.0;High;1;Laboratory Technician;High;Married;4014;3;Y;Yes;15;High;High;80;1;4;3;;2;;2
31;No;Travel_Rarely;Research & Development;7;University;Life Sciences;1;76;Very_High;1.0;High;2;Laboratory Technician;High;Divorced;5915;3;Y;No;22;Very_High;Very_High;80;1;10;3;;7;;1
37;No;Travel_Rarely;Research & Development;1;;Life Sciences;1;77;Low;2.0;Medium;2;Manufacturing Director;Medium;Divorced;5993;1;Y;No;18;Medium;High;80;1;7;2;;7;;0
32;No;Travel_Rarely;Research & Development;1;University;Medical;1;78;Low;1.0;High;2;Manufacturing Director;High;Married;6162;1;Y;Yes;22;Very_High;Medium;80;1;9;3;;9;;7
38;No;Travel_Frequently;Research & Development;29;University;Life Sciences;1;79;Very_High;1.0;High;2;Laboratory Technician;High;Single;2406;1;Y;No;11;High;Very_High;80;0;10;2;;10;3.0;9
50;No;Travel_Rarely;Research & Development;7;Secondary;Medical;1;80;Medium;2.0;Medium;5;Research Director;Medium;Divorced;18740;5;Y;Yes;12;Medium;Very_High;80;1;29;2;;27;;13
59;No;Travel_Rarely;Sales;25;University;Life Sciences;1;81;Low;1.0;High;3;Sales Executive;High;Single;7637;7;Y;No;11;High;Very_High;80;0;28;3;High;21;;7
36;No;Travel_Rarely;Research & Development;8;University;Technical Degree;1;83;High;1.0;High;3;Healthcare Representative;High;Divorced;10096;1;Y;No;13;High;Medium;80;3;17;2;;17;;12
55;No;Travel_Rarely;Research & Development;8;University;Medical;1;84;Very_High;1.0;High;4;Manager;High;Divorced;14756;2;Y;Yes;14;High;High;80;3;21;2;;5;;0
36;No;Travel_Frequently;Research & Development;11;;Life Sciences;1;85;Medium;1.0;;2;Manufacturing Director;;Single;6499;1;Y;No;13;High;High;80;0;6;3;;6;;0
45;No;Travel_Rarely;Research & Development;7;University;Life Sciences;1;86;Medium;1.0;High;3;Research Scientist;High;Divorced;9724;2;Y;No;17;High;High;80;1;25;2;High;1;3.0;0
35;No;Travel_Frequently;Research & Development;1;;Medical;1;88;Medium;1.0;High;1;Research Scientist;High;Married;2194;4;Y;No;13;High;Very_High;80;1;5;2;;3;;1
36;Yes;Travel_Rarely;Research & Development;9;Secondary;Medical;1;90;Very_High;2.0;Medium;1;Research Scientist;Medium;Married;3388;0;Y;Yes;17;Medium;Low;80;1;2;0;;1;;0
59;No;Travel_Frequently;Sales;1;Secondary;Life Sciences;1;91;Low;1.0;Medium;2;Sales Executive;Medium;Single;5473;7;Y;No;11;Medium;Very_High;80;0;20;2;;4;;1
29;No;Travel_Rarely;Research & Development;2;University;Life Sciences;1;94;High;1.0;High;1;Research Scientist;High;Married;2703;0;Y;No;23;Very_High;Very_High;80;1;6;3;High;5;3.0;0
31;No;Travel_Rarely;Research & Development;1;University;Medical;1;95;High;1.0;High;1;Research Scientist;High;Single;2501;1;Y;No;17;High;Medium;80;0;1;4;;1;;1
32;No;Travel_Rarely;Research & Development;1;University;Life Sciences;1;96;Medium;1.0;High;2;Research Scientist;High;Married;6220;1;Y;No;17;High;Medium;80;2;10;3;;10;;0
36;No;Travel_Rarely;Research & Development;6;Master;Life Sciences;1;97;Medium;2.0;Very_High;1;Laboratory Technician;Very_High;Married;3038;3;Y;No;12;High;Medium;80;0;5;3;Very_High;1;;0
31;No;Travel_Rarely;Research & Development;8;University;Life Sciences;1;98;High;1.0;High;2;Manufacturing Director;High;Single;4424;1;Y;No;23;Very_High;Very_High;80;0;11;2;;11;3.0;1
35;No;Travel_Rarely;Sales;1;Secondary;Marketing;1;100;High;2.0;Medium;2;Sales Executive;Medium;Single;4312;0;Y;No;14;Medium;Medium;80;0;16;2;Medium;15;;2
45;No;Travel_Rarely;Research & Development;6;University;Other;1;101;Very_High;1.0;High;3;Research Director;High;Married;13245;4;Y;Yes;14;High;Medium;80;0;17;3;High;0;;0
37;No;Travel_Rarely;Research & Development;7;University;Medical;1;102;Low;1.0;High;3;Research Director;High;Single;13664;4;Y;No;13;High;Low;80;0;16;3;High;5;;0
46;No;Travel_Rarely;Human Resources;5;University;Medical;1;103;Medium;1.0;High;2;Human Resources;High;Divorced;5021;8;Y;Yes;22;Very_High;Very_High;80;1;16;2;;4;;0
30;No;Travel_Rarely;Research & Development;1;Secondary;Life Sciences;1;104;Very_High;2.0;Medium;2;Laboratory Technician;Medium;Married;5126;1;Y;Yes;12;Medium;High;80;2;10;1;;10;2.0;3
35;No;Travel_Rarely;Research & Development;1;Secondary;Medical;1;105;Medium;2.0;Medium;1;Research Scientist;Medium;Single;2859;1;Y;No;18;Medium;Low;80;0;6;3;;6;;0
55;No;Travel_Rarely;Sales;1;University;Life Sciences;1;106;Low;1.0;High;3;Sales Executive;High;Married;10239;3;Y;No;14;High;Very_High;80;1;24;4;;1;;1
38;No;Non-Travel;Research & Development;6;Elementary;Medical;1;107;Medium;1.0;Low;2;Research Scientist;Low;Divorced;5329;7;Y;Yes;12;Low;Very_High;80;3;17;3;;13;;1
34;No;Travel_Rarely;Research & Development;1;University;Medical;1;110;Low;1.0;High;2;Manufacturing Director;High;Married;4325;1;Y;No;15;High;High;80;0;5;2;;5;;1
56;No;Travel_Rarely;Research & Development;7;Elementary;Life Sciences;1;112;Very_High;1.0;Low;3;Manufacturing Director;Low;Single;7260;4;Y;No;11;Low;Low;80;0;37;3;Low;6;;0
23;No;Travel_Rarely;Sales;2;University;Technical Degree;1;113;High;2.0;High;1;Sales Representative;High;Divorced;2322;3;Y;No;13;High;High;80;1;3;3;High;0;;0
51;No;Travel_Rarely;Research & Development;9;University;Life Sciences;1;116;Very_High;1.0;High;1;Laboratory Technician;High;Married;2075;3;Y;No;23;Very_High;Medium;80;2;10;4;High;4;;0
30;No;Travel_Rarely;Research & Development;2;Secondary;Life Sciences;1;117;High;2.0;Medium;2;Healthcare Representative;Medium;Married;4152;1;Y;No;19;Medium;Low;80;3;11;3;;11;;10
46;Yes;Travel_Rarely;Sales;9;Secondary;Medical;1;118;High;2.0;Medium;3;Sales Executive;Medium;Single;9619;1;Y;No;16;Medium;Very_High;80;0;9;3;Medium;9;;4
40;No;Travel_Frequently;Research & Development;1;Secondary;Life Sciences;1;119;High;2.0;Medium;4;Healthcare Representative;Medium;Married;13503;1;Y;No;22;Medium;Very_High;80;1;22;3;;22;;11
51;No;Travel_Rarely;Sales;21;University;Marketing;1;120;High;1.0;High;2;Sales Executive;High;Single;5441;0;Y;Yes;22;Very_High;Very_High;80;0;11;2;High;10;3.0;1
30;No;Travel_Rarely;Sales;4;Secondary;Medical;1;121;High;2.0;Medium;2;Sales Executive;Medium;Divorced;5209;1;Y;Yes;12;Medium;Medium;80;3;11;4;;11;;2
46;No;Travel_Frequently;Research & Development;1;Secondary;Medical;1;124;High;2.0;Medium;3;Healthcare Representative;Medium;Married;10673;2;Y;Yes;13;Medium;High;80;1;21;5;Medium;10;;9
32;No;Travel_Rarely;Sales;6;University;Medical;1;125;Medium;1.0;High;2;Sales Executive;High;Single;5010;1;Y;No;16;High;Low;80;0;12;0;;11;;5
54;No;Travel_Rarely;Research & Development;2;;Technical Degree;1;126;Low;1.0;High;3;Research Director;High;Married;13549;9;Y;No;12;High;Low;80;1;16;5;;4;;0
24;No;Travel_Rarely;Sales;3;University;Other;1;128;Low;1.0;High;2;Sales Executive;High;Married;4999;0;Y;No;21;Very_High;Low;80;1;4;2;;3;;0
28;No;Non-Travel;Sales;4;University;Medical;1;129;Medium;1.0;High;2;Sales Executive;High;Married;4221;1;Y;No;15;High;Medium;80;0;5;3;;5;3.0;0
58;No;Travel_Rarely;Sales;10;University;Medical;1;131;Very_High;2.0;High;4;Sales Executive;High;Single;13872;0;Y;No;13;High;High;80;0;38;1;High;37;;1
44;No;Non-Travel;Research & Development;23;University;Medical;1;132;Medium;1.0;High;2;Laboratory Technician;High;Married;2042;4;Y;No;12;High;High;80;1;17;3;High;3;3.0;1
37;Yes;Travel_Rarely;Human Resources;6;University;Human Resources;1;133;High;1.0;High;1;Human Resources;;Divorced;2073;4;Y;Yes;22;Very_High;Very_High;80;0;7;3;;3;;0
32;No;Travel_Rarely;Research & Development;1;University;Life Sciences;1;134;Very_High;1.0;High;1;Research Scientist;High;Single;2956;1;Y;No;13;High;Very_High;80;0;1;2;;1;;0
20;Yes;Travel_Frequently;Research & Development;6;Secondary;Life Sciences;1;137;Very_High;2.0;Medium;1;Laboratory Technician;Medium;Single;2926;1;Y;Yes;18;Medium;Medium;80;0;1;5;;1;2.0;1
34;No;Travel_Rarely;Research & Development;6;University;Other;1;138;Low;1.0;High;2;Research Scientist;High;Single;4809;1;Y;No;14;High;High;80;0;16;3;High;16;;2
37;No;Non-Travel;Research & Development;2;;Life Sciences;1;139;High;2.0;Medium;2;Healthcare Representative;Medium;Divorced;5163;5;Y;No;14;Medium;Very_High;80;1;17;2;;1;2.0;0
59;No;Non-Travel;Human Resources;2;Secondary;Human Resources;1;140;High;2.0;Medium;5;Manager;Medium;Married;18844;9;Y;No;21;Medium;Very_High;80;1;30;3;;3;;2
50;No;Travel_Frequently;Research & Development;1;University;Life Sciences;1;141;Low;1.0;High;5;Research Director;High;Married;18172;3;Y;Yes;19;High;Low;80;0;28;1;;8;3.0;0
25;Yes;Travel_Rarely;Sales;5;Secondary;Marketing;1;142;High;2.0;Medium;2;Sales Executive;Medium;Single;5744;1;Y;Yes;11;Medium;Very_High;80;0;6;1;;6;2.0;0
25;No;Travel_Rarely;Research & Development;7;Secondary;Medical;1;143;Very_High;2.0;Medium;1;Research Scientist;Medium;Married;2889;1;Y;No;11;High;High;80;2;2;2;Medium;2;;2
22;No;Travel_Rarely;Research & Development;15;University;Medical;1;144;Medium;1.0;High;1;Laboratory Technician;High;Single;2871;1;Y;No;15;High;High;80;0;1;5;High;0;;0
51;No;Travel_Frequently;Research & Development;1;Secondary;Medical;1;145;Low;2.0;Medium;3;Healthcare Representative;;Single;7484;3;Y;No;20;Very_High;High;80;0;23;1;;13;;12
34;Yes;Travel_Frequently;Research & Development;7;Elementary;Life Sciences;1;147;Low;1.0;Low;2;Laboratory Technician;Low;Single;6074;1;Y;Yes;24;Low;Very_High;80;0;9;3;;9;1.0;0
54;No;Non-Travel;Human Resources;26;Master;Human Resources;1;148;Very_High;2.0;Very_High;4;Manager;Very_High;Single;17328;2;Y;Yes;12;High;High;80;0;23;3;;5;;4
24;No;Travel_Rarely;Research & Development;18;University;Life Sciences;1;150;Medium;1.0;High;1;Laboratory Technician;High;Married;2774;0;Y;No;12;High;High;80;1;6;2;;5;;1
34;No;Travel_Rarely;Research & Development;6;Secondary;Life Sciences;1;151;High;2.0;Medium;2;Research Scientist;Medium;Divorced;4505;6;Y;No;15;Medium;High;80;1;12;3;;1;;0
37;No;Travel_Rarely;Sales;3;University;Life Sciences;1;152;High;1.0;High;3;Sales Executive;High;Single;7428;2;Y;No;12;High;Low;80;0;12;3;High;5;;1
34;No;Travel_Rarely;Research & Development;5;Secondary;Medical;1;153;High;2.0;Medium;3;Manager;Medium;Single;11631;2;Y;No;12;Medium;Very_High;80;0;14;6;;11;;5
36;No;Travel_Frequently;Sales;11;University;Technical Degree;1;154;Medium;1.0;High;3;Sales Executive;High;Married;9738;0;Y;No;14;High;High;80;1;10;6;;9;;2
36;No;Travel_Rarely;Research & Development;3;University;Life Sciences;1;155;Low;1.0;High;1;Laboratory Technician;High;Divorced;2835;5;Y;No;22;Very_High;Low;80;1;7;2;;1;;0
43;No;Travel_Frequently;Sales;26;University;Life Sciences;1;158;High;1.0;High;4;Manager;High;Married;16959;1;Y;Yes;12;High;Very_High;80;2;25;3;;25;;4
30;No;Travel_Frequently;Research & Development;23;Elementary;Life Sciences;1;159;Low;1.0;Low;1;Research Scientist;Low;Divorced;2613;1;Y;No;25;Low;High;80;3;10;2;Low;10;;0
33;No;Non-Travel;Sales;22;University;Marketing;1;160;High;2.0;High;2;Sales Executive;High;Married;6146;0;Y;No;13;High;Low;80;1;8;2;High;7;;0
56;Yes;Travel_Rarely;Research & Development;14;University;Life Sciences;1;161;Medium;1.0;High;1;Research Scientist;High;Married;4963;9;Y;Yes;18;High;Low;80;3;7;2;;5;;4
51;No;Travel_Rarely;Research & Development;6;University;Life Sciences;1;162;Low;1.0;High;5;Research Director;High;Single;19537;7;Y;No;13;High;High;80;0;23;5;;20;;15
31;Yes;Travel_Rarely;Sales;6;Elementary;Life Sciences;1;163;Medium;1.0;Low;2;Sales Executive;Low;Married;6172;4;Y;Yes;18;Low;Medium;80;0;12;3;;7;;7
26;No;Travel_Rarely;Research & Development;6;Secondary;Other;1;164;High;2.0;Medium;1;Research Scientist;Medium;Married;2368;1;Y;No;19;Medium;High;80;0;5;3;;5;;4
58;Yes;Travel_Rarely;Research & Development;23;University;Medical;1;165;Very_High;1.0;High;3;Healthcare Representative;High;Married;10312;1;Y;No;12;High;Very_High;80;1;40;3;High;40;;15
19;Yes;Travel_Rarely;Sales;22;University;Marketing;1;167;Very_High;1.0;High;1;Sales Representative;High;Single;1675;1;Y;Yes;19;High;Very_High;80;0;0;2;;0;;0
22;No;Travel_Rarely;Research & Development;2;University;Technical Degree;1;169;High;1.0;High;1;Laboratory Technician;High;Married;2523;0;Y;No;14;High;High;80;1;3;2;;2;;2
49;No;Travel_Rarely;Research & Development;20;University;Medical;1;170;High;1.0;High;2;Manufacturing Director;High;Married;6567;1;Y;No;14;High;High;80;0;16;2;;15;3.0;5
43;No;Travel_Frequently;Research & Development;28;Master;Medical;1;171;Medium;2.0;Very_High;1;Research Scientist;Very_High;Single;4739;4;Y;No;12;High;Very_High;80;0;18;2;;3;;1
50;No;Travel_Frequently;Sales;12;University;Marketing;1;174;High;1.0;High;3;Sales Executive;High;Single;9208;4;Y;No;11;High;Very_High;80;0;16;3;High;2;;2
31;Yes;Travel_Rarely;Sales;20;Elementary;Life Sciences;1;175;Medium;2.0;Low;2;Sales Executive;Low;Married;4559;3;Y;Yes;11;Low;High;80;1;4;2;;2;;2
41;No;Travel_Rarely;Sales;9;University;Life Sciences;1;176;High;1.0;High;3;Sales Executive;High;Divorced;8189;3;Y;Yes;13;High;High;80;1;12;2;;9;3.0;0
26;No;Travel_Rarely;Human Resources;25;University;Life Sciences;1;177;High;1.0;High;1;Human Resources;High;Married;2942;1;Y;No;23;Very_High;Very_High;80;1;8;3;;8;;5
36;No;Travel_Rarely;Research & Development;6;University;Medical;1;178;Medium;1.0;High;2;Manufacturing Director;High;Divorced;4941;6;Y;No;20;Very_High;Very_High;80;2;7;0;;3;;0
51;Yes;Travel_Frequently;Research & Development;8;Elementary;Life Sciences;1;179;Low;1.0;Low;3;Manufacturing Director;Low;Single;10650;2;Y;No;15;Low;Very_High;80;0;18;2;;4;;0
39;No;Travel_Rarely;Sales;4;Secondary;Life Sciences;1;182;Very_High;2.0;Medium;2;Sales Executive;Medium;Married;5902;4;Y;No;14;High;High;80;1;17;1;;15;;5
25;No;Travel_Rarely;Sales;28;Secondary;Life Sciences;1;183;Low;2.0;Medium;2;Sales Executive;Medium;Married;8639;2;Y;No;18;Medium;Very_High;80;0;6;3;;2;;2
30;No;Travel_Rarely;Human Resources;9;University;Human Resources;1;184;High;1.0;High;2;Human Resources;High;Married;6347;0;Y;Yes;19;High;Very_High;80;0;12;2;;11;;4
32;Yes;Travel_Rarely;Research & Development;9;University;Medical;1;190;Low;1.0;High;1;Laboratory Technician;High;Single;4200;7;Y;No;22;Very_High;Low;80;0;10;2;High;5;;0
45;No;Travel_Rarely;Research & Development;29;University;Medical;1;192;High;1.0;High;1;Research Scientist;High;Single;3452;5;Y;No;13;High;Medium;80;0;9;2;;6;;0
38;No;Travel_Rarely;Research & Development;3;University;Technical Degree;1;193;Very_High;1.0;High;2;Research Scientist;High;Single;4317;3;Y;Yes;20;Very_High;Medium;80;0;19;2;;3;3.0;2
30;No;Travel_Rarely;Research & Development;18;University;Life Sciences;1;194;Low;1.0;High;1;Research Scientist;High;Single;2632;1;Y;No;14;High;High;80;0;5;4;;5;;0
32;No;Travel_Frequently;Sales;9;Elementary;Medical;1;195;Very_High;1.0;Low;2;Sales Executive;Low;Divorced;4668;0;Y;No;17;Low;Very_High;80;3;9;2;;8;;0
30;No;Travel_Rarely;Research & Development;5;University;Technical Degree;1;197;Very_High;1.0;High;1;Research Scientist;High;Divorced;3204;5;Y;No;14;High;Very_High;80;1;8;3;High;3;;2
